Episode Name,Characters,Dialogue
Confrontation,Light,The human whose name is written in this notebook shall die…
Confrontation,Takuo,[Laughs] Woo!
Confrontation,Lady,Help me!
Confrontation,Light,Now… what will happen?
Confrontation,Light,"The Death Note, it's for real!"
Confrontation,Ryuk,Any human who's used a Death Note can neither go to heaven nor hell for eternity.
Confrontation,Light,I want the world to know of my existence. That there's someone passing righteous judgement on the wicked! And I… I will become the God of this New World!
Confrontation,English teacher,"He found himself overwhelmed with happiness and satisfaction, [Girl talking: I have no idea what he was thinking coming to my house, but I am so through with him.] [Boy: Seriously? So what happened with your dad after that?] knowing that, at long last, his dream had finally come true. Alright then. Yagami? Please recite this line for us."
Confrontation,Light,"Sure. Having finally made his dream a reality, he was overwhelmed. Both by the magnitude of his achievement, and by the joy and happiness that it brought him."
Confrontation,,Light sits back down.
Confrontation,English teacher,"That was very well done, but I'm not surprised, of course. Absolutely flawless. Very good. Well then, we'll leave it at that for today."
Confrontation,,The students groan and get up from their seats. The bell rings.
Confrontation,Ryuk,"[Outside] I thought it'd never end. How do you do this every day? It's so boring here. Hey, where're you going? Hey, Light! Are you listening to me?"
Confrontation,Light,"[Quietly] Don't talk to me. Unlike you, people can still hear me when I talk out loud."
Confrontation,Ryuk,"Heh, well aren't you boring."
Confrontation,Young man,"Hey, what's up, Light? We were just going to head down to the—"
Confrontation,Light,"Sorry, I'm a little busy today."
Confrontation,Ryuk,"You don't have anything to do. Aren't you just going to go home and hang out in your room, as usual?"
Confrontation,Light,"What are you talking about? Of course I have something to do. Yes, something very important."
Confrontation,,Scene change. A news broadcast is playing on the TV in Light's bedroom. Light is writing names down in his Death Note.
Confrontation,News Reporter,"There was more violence across the city today. Another stabbing, this time at a restaurant in the heart of the Kabuki-cho district of Shinjuku."
Confrontation,,"Ryuk sits on Light's bed, munching on an apple."
Confrontation,Ryuk,"[Bites an apple] Mmm. Hey, Light. [Swallows] I'm talking to you."
Confrontation,Light,What is it?
Confrontation,Ryuk,Why are you working so hard?
Confrontation,Light,"I can't afford to waste any time. I have a very small window to write names in this notebook. I only have from when I get home from school until I go to bed. I still need to sleep so I can maintain my average and stay at the top of my class. Obviously, I can't be sleeping in class. Plus, there's all the studying at home and at cram school. I can't let myself get too tired. It will start to affect my health and my mental performance. If I'm serious about trying to create an ideal world that's free from evil then I need to make the most of my time."
Confrontation,,The door knob turns then clicks as it stops.
Confrontation,Sayu,"Huh? Weird. Hey, Light, what's going on? Why is your door locked?"
Confrontation,Light,It's Sayu. What is it?
Confrontation,Sayu,Can you help me with my homework?
Confrontation,Light,"Uh, yeah. Okay."
Confrontation,,Light puts the Death Note in his desk drawer and goes to open the door.
Confrontation,Sayu,"We're doing quadratic equations in math. Sorry to interrupt. I know you're studying right now, but I'm like the only person in my class who doesn't get this stuff. Thanks so much!"
Confrontation,Light,No problem.
Confrontation,Ryuk,"I'd be careful if I were you. If anyone else touches that notebook you've got hidden in the drawer right now, they'll be able to see me too."
Confrontation,Light,"[Thinking] Huh, he waits till now to mention that important detail?! Damn Shinigami."
Confrontation,Sayu,What's wrong? Are you alright?
Confrontation,Light,Hm? It's nothing. So what exactly don't you understand? What are you stuck on?
