Episode Name,Characters,Dialogue
Glare,Aizawa,That was footage from surveillance cameras at the station. The death of one of the FBI agents is captured on here. [groans]
Glare,Ryuzaki,"Let's see the following scenes again: Raye Penber passing the ticket gate on his way in, then him boarding the train, then finally the part where he dies on the platform. [bites into ice cream]"
Glare,Aizawa,Okay. [sorting through surveillance tapes] Let's see...
Glare,Matsuda,I think it's next to that.
Glare,Aizawa,"Oh, here it is."
Glare,Matsuda,"[reviewing document] Um, so based on the records I have here, Raye Penber comes through the west entrance of Shinjuku Station at 3:11 PM. Then at 3:13 he boards a train on the Yamanote Line. But even if he was following someone at that time, I think it's going to be very difficult for us to draw any real conclusions from the blurry video. Then at exactually 4:42 P.M. a—"
Glare,Matsuda,"[cont'd] Nnn. Oh, thank you, Watari."
Glare,Matsuda,"Uuuumm, and at 4:42 P.M., he exits the train at Tokyo station and dies on the platform"
Glare,Ryuzaki,"It's quite strange, don’t you think?"
Glare,Aizawa,[happily with ice cream] Hah...
Glare,Soichiro,I'm sorry. What do you find strange?
Glare,Matsuda,"Yeah, what is it. Did you notice something?"
Glare,Ryuzaki,"[licks ice cream] Mmm. [swallows] We know that Raye Penber got on the train and then an hour and a half later he got off and died on the platform. But the Yamanote Line only takes an hour to complete its circuit. And more importantly, there's the envelope."
Glare,Aizawa,"Uh, whaddya mean?"
Glare,Ryuzaki,He's holding what looks like an envelope when he passes through the ticket gate.
Glare,Aizawa,"[gasps] You're right! It's there, under his arm! [looks at other screen] But in the footage right before his death, it's gone! I can't believe you actually caught that!"
Glare,Soichiro,"[grabs paper] Well, I don't see an envelope on this list of his personal effects."
Glare,Ryuzaki,"Which means it was left on the train. And if you watch closely, at the very end here... [fastforwards tape to Raye dying on platform] it seems like he's straining to look inside the train before the doors close. You can see right here."
Glare,Soichiro,"If that's the case, do you think it could mean something?"
Glare,Ryuzaki,Wouldn't it be interesting if Kira was on that train?
Glare,Soichiro,That's impossible!
Glare,Ryuzaki,"I admit, I find it hard to believe as well. There's no reason for Kira to come to the scene of his own crime when he can kill from a distance. [takes breath] Well... maybe he was counting on us to make that assumption, and figured he could get away with such a bold move. [eats ice cream] Mmm..."
Glare,Ryuk,"[offscreen] What's going on with you, Light?"
Glare,Ryuk,[cont'd] You haven't stopped writing criminals' names in the Death Note for four days straight. So what are you trying to prove? I don't see the point of writing these names weeks in advance. I've never seen the Death Note used like this.
Glare,Light,"Consider it insurance. Suppose the son of the Detective Superintendent of the NPA was hospitalized. If criminals stop dying at the same time, it wouldn't be difficult to connect the two."
Glare,Ryuk,So that's what this is.
Glare,Light,Are you sure that I can use any date as long as it's before the end of a person's predetermined lifespan?
Glare,Ryuk,"Well, I can't guarantee it, because we Shinigami don't normally work that way, but I suppose any time before the end of their lifespan should work."
Glare,Light,"I really can't count on you, can I?"
Glare,Ryuk,Ya got that right.
Glare,Watari,"[on phone] Yes? Yes, would you please hold for a moment? [to Ryuzaki] Ryuzaki, it's Ukita at the NPA. He says he's on the phone with someone from the tip-line who has information for us."
Glare,Ryuzaki,"Right. Then give Ukita the number for line five and ask him to have the informant call that line instead. It'll be safer that way. Mr. Matsuda, it's okay for you to turn your cellphone on now. Actually, please turn it on right away."
Glare,Matsuda,"Uh, sure."
Glare,Ryuzaki,"[using fake voice] Yes, this is Suzuki, head of Kira investigation Public Information Division. [pauses][in real voice] Raye Penber's fiancée? Naomi Misora..."
Glare,Ryuzaki,[cont'd] I've heard that name before...
Glare,Ryuzaki,"[gasps] [thinking] So it's her. She's from the Los Angeles BB Murder Case. That's right! She was working under me. I guess she must have come to Japan with her fiancé. [hangs up cellphone and hands it to Matsuda][aloud] Well, apparently she's been missing since the day after her fiancé died."
Glare,Matsuda,I'm sure that anyone in her situation would be pretty depressed. Was it...?
Glare,Aizawa,Suicide.
Glare,Ryuzaki,"No. The Naomi Misora I knew was strong. Not to mention she was also an excellent FBI agent. If anything, it's more likely that she'd be trying to catch Kira. It appears she came to Japan with Penber, it's possible that she may have found a lead... [thinking] If that's the case, did Kira manage to get to her first? [aloud] Everyone. At this point, I'd like to focus our investigation on only those people who Raye Penber was tailing. In particular, he was assigned to two police officers and those closest to them."
Glare,Soichiro,Very well. Who are these two individuals he was investigating?
Glare,Ryuzaki,"Deputy Director Kitamura, along with Detective Superintendent Yagami and their families."
Glare,Soichiro,[gasps]
Glare,Ryuzaki,"At this stage, I'd like to place wiretaps and surveillance cameras in both households."
Glare,Light,"[thinking] I have to make sure there's no evidence left on this computer, just in case someone goes through it. Now I just have to hide these clippings from the Death Note in here."
Glare,Ryuk,"It seems you're pretty skilled with your hands. I bet you're pretty popular with the girls, aren't you?"
Glare,Light,"Skill has nothing to do with it. It's your looks that count. I'm guessing you're not that popular, are you?"
Glare,Ryuk,[upset] Huh?
Glare,Matsuda,Surveillance cameras? Ryuzaki!
Glare,Aizawa,"I don't see how you could even consider this. If this got out, we'd have a civil rights scandal on our hands! We'd all lose our jobs."
Glare,Ryuzaki,You told me you'd be willing to risk your lives for this investigation. But you wouldn't risk your jobs?
Glare,Matsuda,"Uh, uh..."
Glare,Soichiro,"Ryuzaki, what are the odds that Kira is in one of those households."
Glare,Ryuzaki,"Maybe ten percent. No, it's closer to five percent."
Glare,Matsuda,"Seriously? I'm sorry, but it's not worth the risk."
Glare,Soichiro,No.
Glare,Aizawa and Matsuda,[gasp]
Glare,Soichiro,"[cont'd] Of all the people we've investigated so far, not one of them seemed even the least bit suspicious. Even if there's only a one percent chance, we simply can't afford to ignore it."
Glare,Matsuda,Chief?
Glare,Soichiro,"I don't have to tell you how offended I am to learn my family is under suspicion. Having said that, just go ahead with it."
Glare,Aizawa and Matsuda,[gasp]
Glare,Soichiro,"[cont'd] And make sure you install them everywhere. I don't wany blind spots in the house, and that includes the bathroom."
Glare,Ryuzaki,Thank you very much. That was my intention
Glare,Aizawa,"Come on, Chief, you don't have to agree to this!"
Glare,Matsuda,"Yes, he's right! Think about your family! You have a wife and daughter at home, don't you?"
Glare,Soichiro,"[spins around][angrily] Yes, I'm well aware of that fact! But there is no point of doing this if we can't be thorough! Now I suggest you keep quiet!"
Glare,Matsuda,I'm sorry.
Glare,Soichiro,"No, it's okay. Excuse me."
Glare,Ryuzaki,"As a courtesy to the chief and his family, only he and I will conduct surveillance of their home. Watari, how long will it take to prepare the wiretaps and cameras we need?"
Glare,Watari,"Well, starting tomorrow, I can set them up at any time, provided we know when both houses will be empty."
Glare,Light's friend,"[offscreen] See ya later, Light!"
Glare,Light,"Yeah, see ya tomorrow. [he grabs the doorhandle to find it's locked][thinking] What? No one's home yet?"
Glare,Light,[taking off shoes] I'm home!
Glare,Light,Huh? Hmm...
Glare,Ryuk,"How's it going? I don't think anyone else is in the house right now. Do you wanna play some videogames? [Light lays down on his bed, ignoring Ryuk] Come on, it's been a while!"
Glare,Ryuk,You listening?
Glare,Soichiro,I don't believe it. I never knew he went to such great lengths. What could he be hiding in their that he doesn't want anyone else to see?
Glare,Ryuzaki,"For a seventeen-year-old kid, I wouldn't say this kind of behavior's particularly abnormal. When I was his age, I did strange things, too. Have you ever talked to your son about the investigation?"
Glare,Soichiro,"Of course not. I've never once revealed classified information to my family. Besides, I don't get to see them too often these days, and usually as soon as I get home, all I can do is sleep."
Glare,Ryuzaki,I understand
Glare,Ryuk,Where exactly are we going?
Glare,Ryuk,"Light, don't ignore me when I'm talking to you or I'll get mad. [Light starts checking his jacket] Huh? [as Light starts to think] Hellooooooo?"
Glare,Light,[thinking] Doesn't look like these clothes have been bugged. I think we're safe.
Glare,Ryuk,[flailing] Yoo-hoooooooo!
Glare,Light,"Listen to me! There's a very strong possibility that there are wiretaps, 'n' maybe surveillance cameras, hidden throughout my house."
Glare,Ryuk,"Really? But that piece of paper was still in your door, wasn't it?"
Glare,Light,"That's true, but I left the paper in the door in a way that it would be obvious to anyone entering the room. The real test is the handle."
Glare,Ryuk,It is?
Glare,Light,"[as he explains, a split-screen showing a diagram of what he is describing is shown] When that door is closed, the doorhandle automatically returns to a horizontal position, and it won't go any higher than that. But whenever I close the door, I adjust it slightly. Instead of letting it sit horizontally, I lower it by about five millimeters. When I get home and I try to open the door, if the handle is all the way up, I can be fairly certain that someone was in my room. That method alone doesn't tell me if my door was actually opened. So I put a mechanical pencil led in place as well."
Glare,Ryuk,So what do you do with it?
Glare,Light,"It goes on the hinge. After I close the door, I take the pencil led and rest it on the hinges in such a way that it will break if the door happens to be opened by anyone. Normally, I take it out myself when I get back home. When I got home from school today, I noticed that the pencil lead was broken."
Glare,Ryuk,"Now that you mention it, I do remember that."
Glare,Light,"First the door handle, then the lead. I know someone was in there today."
Glare,Ryuk,Maybe it was your mother.
Glare,Light,My family wouldn't have noticed the piece of paper. What's suspicious is that someone took the time to put it back in the door.
Glare,Clerk,"Hi, there, can I help you?"
Glare,Ryuk,What's this all about? Are you buying a book about wiretaps and surveillance so you can figure this mess out?
Glare,Light,"By the way, Ryuk, what about your apples?"
Glare,Ryuk,"Apples? [gasps] That's right! Surveillance cameras! Once the apple's in my mouth, no one can see it, but while I'm holding it, it looks like it's floating."
Glare,Light,"I thought so. You told me that Shinigami can't die, so I guess it won't kill you to stop eating apples for a while."
Glare,Ryuk,"[desperately] Agh! Don't you think that's a bit much? Come on! I never told you this, but apples are to me, what cigarettes and alcohol are to humans. Do you see what I'm sayin'? I even get withdrawal symptoms."
Glare,Light,Oh yeah? What kind of symptoms.
Glare,Ryuk,"My body gets all twisted, I do handstands. [doing a handstand] It's not pretty!"
Glare,Light,I don't need to see that.
Glare,Ryuk,[sighs] I know.
Glare,Light,"Okay, here's the thing. Unfortunately, I already gave L the hint that Shinigami love apples, so I just can't afford to take the risk."
Glare,Ryuk,When did you...?
Glare,Light,"[stopping in front of his house] If it's so important for you to eat apples, you'll have to find out where all the cameras are hidden. If you're lucky, you might find a blind spot where you can eat them without being seen."
Glare,Ryuk,Huh...
Glare,Light,"Alright, let's go."
Glare,Ryuk,[flying to the top floor] Yeah! A camera search! [thinking] Sounds so interesting.
Glare,Ryuk,"Oh... Oh! Uh! [looking around] I, have to find the cameras"
Glare,Soichiro,I can't believe my son is looking at those magazines.
Glare,Ryuzaki,"Hm, it's normal for a seventeen-year-old. But it seems contrived. It's too obvious. The only reason he didn't want anyone in his room was because he had these magazines? That's what he wants us to think."
Glare,Soichiro,Hey. That's my son you're talking about. Are you honestly telling me that you suspect him?
Glare,Ryuzaki,I do suspect him. That's why I placed wiretaps and surveillance cameras in your house and the deputy director's house.
Glare,Ryuk,Huh? I found a camera in the air conditioner!
