Episode Name,Characters,Dialogue
Overcast,Light,"[thinking] Regardless of how she came to the conclusion, the fact remains this woman knows the truth. If she gives this information to the police, it won't take them long to figure out that Kira is actually me. I have no choice but to eliminate her."
Overcast,Shoko,Something wrong?
Overcast,Light,"[stops] Oh, it's nothing. But the more I think about it, the more your theory makes sense to me. We can't waste any time. We need to start investigating it right away."
Overcast,Shoko,What? Really? Do you mean that?
Overcast,Light,Yes. So have you told anyone else about this?
Overcast,Shoko,No. You're the first person I've told.
Overcast,Ryuk,"[chuckles] You're lucky, but how can you get rid of her? It's not like you can do it here."
Overcast,Light,"[thinking] Well, you have a gift for stating the obvious, Ryuk. [reaches into pocket and pulls out paper from the Death Note and a pencil]"
Overcast,Ryuk,"Oh, aren't you bold."
Overcast,Light,Let's get started. Could you please tell me the date and time of the bus-jacking incident?
Overcast,Shoko,"It was December twentieth, in front of Asagao Hill, at 11:02 A.M., bound for Space Land."
Overcast,Light,"[writing] December twentieth, and they were on their way to Space Land."
Overcast,Shoko,Yes.
Overcast,Light,"[thinking] This way, no one will find her body. And even if they do, they'll just assume that the death of her fiancé drove her to commit suicide."
Overcast,Ryuk,[laughs]
Overcast,Light,"[thinking] Hmm? What's so funny, Ryuk?"
Overcast,Ryuzaki,"I apologize for questioning you all like that, but I am afraid I had no other choice."
Overcast,Ryuzaki,[cont'd] I've determined that Kira is not among us.
Overcast,Soichiro,"Ryuzaki, how can you be certain that we're all innocent?"
Overcast,Ryuzaki,"Well, to be honest, from the beginning I set a number of traps that would reveal if any of you was Kira. But after speaking with you one-on-one, I don't feel the need."
Overcast,Ryuzaki,Excuse me. [picks up phone]
Overcast,Matsuda,[thinking] Unbelievable. He tells us to turn off our cellphones.
Overcast,Ryuzaki,[on phone] Understood. I'm just about finished here anyway. You got the key so let yourself in. [hangs up] Watari is on his way.
Overcast,Light,"[putting paper and pencil in his pocket] So that's everything. I'd like to report this incident to my father, if it's okay with you, that is."
Overcast,Shoko,"Well, if it's all the same, I think I'd like to report it myself. And after talking to you, I've decided that it would be best to do it as soon as possible. [turns and starts walking]"
