Episode Name,Characters,Dialogue
Pursuit,Soichiro,[V.O.] What? I don't believe this. Another twenty-three victims yesterday? Are these confirmed?
Pursuit,L,"[V.O.] As soon as began to suspect that Kira might be a student, the pacing of the killings changed, as if to contradict that theory. This can only mean that Kira has access to police information."
Pursuit,Light,"[V.O.] When L discovers that I'm somehow getting confidential information, he'll be obligated to start investigating the police to find the source of the leak."
Pursuit,Ryuk,[V.O.] You're being followed by another human. He's watching you right now.
Pursuit,Light,[V.O.] That's a problem. I'll have to get rid of him as soon as possible.
Pursuit,Ryuk,"Because through a Shinigami's eyes a human's name can be seen above their head. Not only that, we see there lifespan as well. However, if a Shinigami drops his Death Note, and a human picks it up, he can grant that human the eyes of a Shinigami. The price for having a Shinigami's eyes is half of that person's remaining lifespan. That's all it is. So... what'll it be, Light? Is it a deal?"
Pursuit,Shinigami 1,Has anyone seen Ryuk around?
Pursuit,Shinigami 2,Maybe he was serious about losing his Death Note.
Pursuit,Shinigami 3,[O.S.] It was probably picked up by some human before he could get to it.
Pursuit,Shinigami 4,No way. Then he'd be stuck there 'til the end of that human's life or until the Death Note was destroyed. That could take a while.
Pursuit,Armonia Justin Beyondormason,Yeah. I can't picture Ryuk doing something so boring.
Pursuit,Shinigami 5,[O.S.] Do you know what? I actually heard he was carrying two Death Notes.
Pursuit,Shinigami 6,"[O.S.] Seriously, why would he need two?"
Pursuit,Armonia Justin Beyondormason,Beats me. I'll never understand that guy.
Pursuit,Light,"So the price for receiving the eyes of the Shinigami is no more than half of my remaining lifespan? [pauses] That's it, right?"
Pursuit,Ryuk,"Yes. Well then, do we have a deal or not?"
Pursuit,Light,Ryuk. [pauses] This deal is... out of the question.
Pursuit,Ryuk,Huh?
Pursuit,Light,"Let's get this straight. [cut back] My plan is to create an ideal new world free from evil and all criminals, and I intend to reign as a god in that new world for a very long time. I might consider the deal if it lengthened my life, but not if I die sooner. I figured you of all people should know I wouldn't take this deal."
Pursuit,Ryuk,"Yeah. I still felt I should tell you that the deal existed, just in case. Anyway, I've done my part. I don't need you complaining I didn't tell you this earlier on."
Pursuit,Light,"This is what you call ""telling me early on""? Doncha you think you're a little late? I don't see why you couldn't'a told me this when we met. Or better yet, you could've simply included it in the instructions for the Death Note."
Pursuit,Ryuk,"Uh, good point. [thinking] He's not the slightest bit daunted by the fact that I'm a Shinigami. He doesn't suck up to me, and he seems to have no problem giving me a hard time."
Pursuit,Light,"[getting up from his desk and walking away] Well, you sure there's nothing else you want to tell me ""ahead of time,"" [pauses as he lays back onto his bed] ""Shinigami""?"
Pursuit,Ryuk,"No, nothing else. [thinking] Eh, probably."
Pursuit,Light,Really? That's too bad.
Pursuit,Ryuk,Whaddya mean?
Pursuit,Light,"You know, Ryuk, I might've seriously considered the deal if you'd offered me wings instead of eyes. Just the idea of flying 'round freely in the sky sounds very god-like. After all, it's been mankind's dream since antiquity to be able to fly."
Pursuit,Ryuk,[slightly surprised] You'd stand out if you sprouted wings and flew around. Not to mention the police would have no trouble finding you.
Pursuit,Light,"[laughs softly] I was only joking. Anyway, if I keep bargaining for eyes and wings and whatever else, next thing you know I'm going to end up becoming a real Shinigami. Though who knows? I bet that could be pretty interesting."
Pursuit,Ryuk,"I wouldn't worry. Even without the eyes and wings, you're already a worthy Shinigami."
Pursuit,Ryuk,"[V.O.] The Shinigami realm is slowly rotting. We lead meaningless and empty lives. And the only reason we still take human lives is because we're afraid to die ourselves. The truth of the matter is that we no longer even know why we exist. In fact, I doubt there's any reason for our existence at all."
Pursuit,Ryuk,"[cont'd] What I'm saying is, compared to that, you're becoming a much more impressive Shinigami."
Pursuit,Light,"I don't know about that. I mean, from what you're telling me it, it sounds like I'm doing a lot more work than they are, but uh I don't want to be compared to a Shinigami. I'm a human using this Death Note to make the world a better place for humans. [flips through the Death Note] But I wouldn't necessarily say the Shinigami realm is meaningless to humans either."
Pursuit,Ryuk,Huh? Why do you say that?
Pursuit,Light,"Well, just think about it. Whenever a Shinigami like you comes to the human world once ever hundred—no more like every thousand years—the human world changes dramatically. The existence of the Shinigami Realm is extremely significant."
Pursuit,Ryuk,Really?
Pursuit,Light,"And you told me just now that the Shinigami realm is slowly rotting, right? Well, when you return from this world, why not use what you've learned here to try and change it for the better?"
Pursuit,Ryuk,"[after a pause] Well, Light, I'm not sure why I never noticed this until now, but you're quite the positive thinker."
Pursuit,Light,"[laughs softly] Yeah, of course I am. That's why I'm using the Death Note to create a better world. You have to be a positive thinker to even attempt something like this."
Pursuit,Light,[cont'd] That's it. I got it.
Pursuit,Ryuk,Got what? What's this about?
Pursuit,Light,I think I just figured out how to find out the name of the guy who was following me today.
Pursuit,Ryuk,How're ya gonna do that?
Pursuit,Light,"I'm gonna use the rules of the Death Note to my advantage. I already know that if I write down a cause of death, I've got six minutes and forty seconds to record the conditions and exact time of death. First, I need to know exactly how far I can go in terms of specifying the details of death. ...This should be interesting."
Pursuit,Soichiro,"Yeah, it's me. ...Another six inmates were found dead last night? ...All were heart attacks? It's him... What? [an officer gasps] Bizarre behavior before they died? Could you be more specific? What do you mean? So they didn't just die from heart attacks."
Pursuit,Caller,"No, what I'm saying is they all died of heart attacks, but it wasn't quite that simple."
Pursuit,Caller,"[cont'd] Before one of them died, he drew a pentagram on the wall of his cell with his own blood. [letter] Another left a letter, but it doesn't seem to be a will or anything meaningful. [photo] As for the third victim, he escaped from his cell and ran all the way to the staff bathrooms before he died."
Pursuit,L,"What is it, Watari?"
Pursuit,Watari,"[muffled output] Three more heart attack victims, but the circumstances of their deaths are different from what we've seen thus far."
Pursuit,L,"What do you mean by ""different""?"
Pursuit,Watari,[muffled output] I'm sending you a copy of a letter as well as pictures taken at the scene.
Pursuit,L,Okay.
Pursuit,L,"It sounds like he was afraid that Kira would fine him. It's believable that our victim might have been genuinely afraid and wrote this, but... We know Kira can control the time of death. What if he can also determine the actions in the moments leading up to death? In which case..."
Pursuit,L,[distorted by voice changer] Here.
Pursuit,Soichiro,[standing up] Huh?
Pursuit,L,"[distorted] We can't release details of these men's deaths to the media. As far as they're concerned, these are just heart attacks."
Pursuit,Soichiro,Huh...
Pursuit,L,"[distorted] I have reason to believe that Kira was performing some kind of ""test"" using these criminals. And if that's the case, we'd only be giving him the results of this information if we put it public."
Pursuit,Soichiro,Right. I understand.
Pursuit,Officer 1,So now he's experimenting on his victims?
Pursuit,Officer 2,Horrible.
Pursuit,Soichiro,"He's playing with people's lives, as if all this was just a game. It's unforgivable."
Pursuit,L,If Kira is really using criminals as test subjects... what is he trying to achieve?
Pursuit,Light,"Look at this, Ryuk. I think we're in luck. The results of yesterday's little ""test"" of ours has been downloaded onto my dad's computer. And these results are just as I suspected. The Death Note will work for what I have in mind."
Pursuit,Ryuk,Whaddya mean by that?
Pursuit,Light,One of 'em escaped and ran into the bathroom I had specified in the Death Note.
Pursuit,Light,"[cont'd] [V.O.] Another one drew the same symbol I had drawn in the bathroom before he died. And finally [the half of the screen with the cell is replaced with the previously seen letter] a third wrote the same letter I had written in the Death Note, word for word."
Pursuit,Light,"[cont'd] All three did exactly what I intended them to do. For the other three inmates, I purposely wrote conditions that were virtually impossible."
Pursuit,Ryuk,Huh?
Pursuit,Light,"With the first one, I wrote that he would die in front of the Eiffel Tower in one hour. However, everyone knows it's physically impossible to go from a prison in Japan to Paris, France in only one hour. Since this couldn't happen, he simply died of a heart attack in prison. The next was supposed to draw an exact picture of L's face on the prison wall. This also didn't happen. You can't draw someone you've never seen before."
Pursuit,Ryuk,[O.S.] Makes sense.
Pursuit,Light,"[V.O.] With the last one, I tried something slightly different. I specified that he would write a note that read, ""I know that L is suspicious of the Japanese police."""
Pursuit,Light,"[cont'd] To be honest, I actually expected this one to work, but it didn't end up happening. Which means, it's impossible to make someone write what they don't already know. Or at the very least, it has to be the kind of thing they could come up with on their own. Basically, even the Death Note can't do the impossible, but as long as it's within the realistic limits of what that person might do, I can control them as much as I want before they die."
Pursuit,Ryuk,That's very clever. But what's all this leading to? What's the point?
