Episode Name,Characters,Dialogue
Tactics,Raye,You there.
Tactics,Light,Yeah?
Tactics,Raye,"Listen carefully: I came to Japan as a part of a secret investigation, so the local police can't find out that, um... that I."
Tactics,Light,I understand. I promise I won’t tell anyone that I met you and of course [pauses] that includes my father.
Tactics,Raye,"[sighs softly in relief] Well then, [runs away] please excuse me."
Tactics,Light,"[thinking] It's just as I thought. Anyway, I don't want the police to know that I've come into contact with an FBI agent, either. If my father ever found out, there's no doubt he'd let L know. [brief shot of Raye Penber] It's obvious that he doesn't suspect me. And as for the police, I'm sure they'll treat this as just another unfortunate accident."
Tactics,Woman,"[gladly] Hey, welcome back."
Tactics,Raye,[wearily] What a day.
Tactics,Woman,"Raye, what's the matter? Something happened, didn't it? [walking towards nearby shelf] I've never heard you sigh like that."
Tactics,Raye,"Yeah. The bus I was on got hijacked, if you can believe it."
Tactics,Woman,[shocked] A bus jacking?
Tactics,Raye,"Some junkie. Robbed a bank two days ago, and I guess he wanted to try taking on a bus today. I didn't think this kind of thing happened here."
Tactics,Woman,So you were already on the bus when the hijacker got on it?
Tactics,Raye,"Yeah, and in the end the guy freaked out, jumped out of the bus, and got hit by a car."
Tactics,Woman,Did he die?
Tactics,Raye,"Yeah, probably. I couldn’t really sick are and see what happened to him."
Tactics,Raye,[cautiously] What do you mean?
Tactics,Woman,"Think about it. You got on that bus because you were investigating someone, right? And now you're telling me that this criminal is most likely dead. Doesn't that suggest that you—"
Tactics,Raye,[interrupting] That's enough.
Tactics,Raye,"[increasingly frustrated]Look, darling, you and I know you used to be one of the best agents in the FBI. But now you’re my fiancé now. I mean, we talked about this. You're not an agent anymore, so just leave it alone."
Tactics,Woman,[after a pause] But...
Tactics,Raye,"[frustratedly] You wouldn't get involved with the Kira care and you wouldn't do anything dangerous. That's what you promised when we decided you’d come with me, so I could meet your parents in Japan. You do remember that, don't you?"
Tactics,Woman,"[disheartened] Yeah, I guess you're right. It's just force of habit. Sorry about that."
Tactics,Raye,"No, I should be sorry. Let's... forget about it. [happily] Anyway, once we have a few kids running around, you'll probably be so busy you'll forget you were ever an agent. Your mind will be occupied with better things, too."
Tactics,Raye,"[cont'd] More importantly, tell me how I can convince your dad I'm worthy of his daughter. Kira doesn't scare me half as much as he does."
Tactics,Ryuk,"Oh, let me guess. You're about to write down the name of that agent, aren't you? The one from the bus."
Tactics,Light,"Not yet. I'm gonna wait one week before writing his name. If he dies right after meeting me, I'll only draw attention to myself. I'll write his name in here once they've had time to investigate more people with ties to the police. It'll be less obvious that way. In the meantime, I think I'll use some of those inmates I've been keeping alive to play around with L a little more."
Tactics,Watari,[muffled output] L.
Tactics,L,[turning to the computer] Hmm?
Tactics,Watari,Another victim. This one left what appears to be a suicide note.
Tactics,L,"Please, send it to me."
Tactics,L,"""Gods of Death."""
Tactics,L,"""L, did you know, Gods of Death...?"" Is he trying to tell us that Gods of Death exist? [to Watari:] Listen, Watari. Tell the police to monitor prison populations closely for the next few days. Kira may use other suicide notes to communicate us."
Tactics,Watari,[muffled output] Understood.
Tactics,Ryuk,This place is crawling with humans. How're ya gonna do it here?
Tactics,Light,[scanning the crowd] Let's just say you're about to see the results of all the research and experiments I've been doing over the last few days.
Tactics,Ryuk,Experiments?
Tactics,Light,Yeah. I've been using known criminals who live in this part of town to test out different killing methods. I've learned a lot about the Death Note.
Tactics,Light,"[cont'd] [V.O.] For example, if I write a cause of death and the circumstances leading up to it, I can add a name afterwards and it'll still happen."
Tactics,Ryuk,[thinking] Ooooh. Even I didn't know that one.
Tactics,Light,[putting hood on] He's here. [pauses as Raye approaches] Right on time.
Tactics,Light,Mr. Raye Penber.
Tactics,Light,Turn around and your dead.
Tactics,Light,I am Kira.
Tactics,Light,[cont'd] That's right. Don't turn around or put your hands in your pockets. I won't hesitate to kill you here.
Tactics,Raye,[thinking] I-it couldn't be. This voice. I've heard it somewhere.
Tactics,Light,"But first, I'm gonna prove to you that I'm Kira. Do you see the man working over there at the coffee shop?"
Tactics,Light,"That's right, the one sweeping the floor. I'm gonna kill him just for you."
Tactics,Ryuk,But how? ...Don't do it.
Tactics,Light,"I'm afraid I had no choice but to kill him. I figured if I didn't kill at least one person, you wouldn't believe me. Although that man has been repeatedly charged with sexual assault. He's managed to avoid conviction every time due to lack of evidence. He was a menace to society. He got what he deserved. I can only assume that L has already informed you of this: I can't kill someone who I haven't seen. I have to know their face, which means of course, I could easily kill all these people right now if I wanted to. Go ahead and choose someone if you want."
Tactics,Raye,D-don't do it. I believe you. You're Kira.
Tactics,Light,I'm sure you care more about your loved ones than any of these people here. Imagine how you'd feel if one of them was killed just because you refused to cooperate. I think you should consider them the real hostages at the moment.
Tactics,Raye,How do you know about her?
Tactics,Light,"[chuckles] You seem surprised. I've been investigating you, and if you don't do exactly as I say, she will die and so will the rest of your family, including you. And that's a promise."
Tactics,Raye,I-I understand. Just tell me what you need me to do.
Tactics,Light,I see you've got your laptop with you. I want the files containing the identities of all the FBI agents who came to Japan.
Tactics,Raye,"I do have my laptop with me. It's the one I use for work, but I don't have the files you're looking for."
Tactics,Light,"Alright, then take this envelope."
Tactics,Raye,Huh? [takes envelope]
Tactics,Light,"First, take the transceiver out of the envelope, then put the earpiece in, and await my instructions"
Tactics,Raye,[thinking] A transceiver? This thing looks like a toy.
Tactics,,"Fade to slightly different angle of Raye, at which point he has his hand on the transmitter now in his ear"
Tactics,Raye,[cont'd][thinking] But there'll be no record of this transmission anyway. And it allows us to converse from a close distance even underground. You really thought this through.
Tactics,Light,"Alright. Now get on the Yamanote Line, inner or outer route. It doesn't matter which direction you take. I'll be close by at all times, which means I'll be watching your every move. When you get on the train, pick a spot in front of you and don't take your eyes off it. If I see you looking around, I will kill you. Once you've boarded, I want you to take the seat closest to the doors. If it's occupied, wait until it's free."
Tactics,Light,"Now, I'm going to ask you something. If I have even the SLIGHTEST suspicion that you're not being honest, your girlfriend is as good as dead. How many FBI agents are currently in Japan? Speak quietly into the transceiver, and don't make it obvious."
Tactics,Raye,[lifts collar of jacket] I believe it's four teams. Three agents per team for a total of twelve.
Tactics,Light,Okay. Now take the papers out of the envelope.
Tactics,Raye,Huh? [thinking] What... is this?
Tactics,Light,"Of those twelve agents you mentioned, I want you to write down the name of your superior, the one who's heading up this investigation, on the space on the very top of the page."
Tactics,Raye,[thinking] What is the meaning of this? What is he after?
Tactics,Raye,"[cont'd][ thinking] Let's face it, he hasn't really left me any choice. Besides, it's not like he can kill them using just their names."
Tactics,Light,"Next, take out your laptop and turn it on. Any minute now your boss is going to send you a message with a file attachment. It contains the names and photos of all the FBI agents currently active in Japan."
Tactics,Raye,[thinking] But this... this is...
Tactics,Light,"Now, one by one you're going to look at each photo and then write that agent's name in the space provided. You're going to do this for each agent."
Tactics,Raye,"[thinking] It doesn't make sense. If he's got the names already, why use me? What's he planning to do with them? [closes laptop]"
Tactics,Light,"Good. Looks like you're done. [cut to Light] Now put the transceiver and all the papers back into the original envelope and place them on the wrack directly above your head. [cut to Raye putting papers in envelope] After that, you’re going to stay in your seat and ride the train for at least another thirty minutes. When you are absolutely certain that nobody will notice you leaving without the envelope, you can get off the train."
Tactics,Raye,[thinking] I know that voice. Why on earth can't I remember who it belongs to?
Tactics,Raye,"[thinking] Kira, who are you?"
Tactics,Raye,Light... Yagami.
Tactics,Light,Farewell... Raye Penber.
Tactics,Light,"[V.O.] Raye Penber wrote all those names on pages taken from the Death Note. Ironic. Without even realizing it, he was actually signing a death warrant for all of his colleagues. As for Penber's boss, he died of a heart attack after sending all of his agents a file. And the other eleven investigators? [chuckles] They all died of heart attacks after receiving the same file."
Tactics,Watari,"[through speakers] L, you have a call from the director of the FBI."
