Episode Name,Characters,Dialogue
Unraveling,L,[monotone] I am L.
Unraveling,Soichiro,[thinking]] This is him?
Unraveling,Matsuda,Hmm. He's nothing like he thought I'd be.
Unraveling,Soichiro,"Hmm. [pulls out badge] I'm Yagami, of the NPA."
Unraveling,Matsuda,"Uh, Matsuda."
Unraveling,Aizawa,I'm Aizawa.
Unraveling,Mogi,Mogi.
Unraveling,Ukita,Ukita.
Unraveling,Soichiro,"I'm very sorry we're late. Currently, the five of us are—"
Unraveling,L,Bang!
Unraveling,Task force,Huh?
Unraveling,Matsuda,Uh?
Unraveling,Aizawa,What the hell was that?
Unraveling,L,"Hmm... If I were Kira, you'd be dead Mr. Soichiro Yagami for the NPA."
Unraveling,L,"Kira needs a face and a name in order to commit murder. But I'm sure you've already figured that much out, haven't you? Please, do not give out your names so carelessly. Instead, let's value our lives."
Unraveling,Matsuda,"I knew that he needed a face to kill someone, but I don't remember any evidence that showed that he needed a name, too."
Unraveling,Soichiro,"There's no way to verify if this is related, but criminals whose names were never released publicly or whose names were spelled incorrectly in the media have not been targeted. We briefly went over it at one of our meetings."
Unraveling,L,That's enough small talk for now. Come this way.
Unraveling,Matsuda,"Oh, uh, right."
Unraveling,L,"Please turn off all your cell phones, handhelds, and any other communication devices, and leave them on the table right there."
Unraveling,Aizawa,"What, do you think we're going to be using our cellphones during this meeting to leak information?"
Unraveling,Soichiro,It's alright. Just do as he says.
Unraveling,Matsuda,"[as they all place their cellphones on the table] I realize he's been cautious from the very beginning, but I still can't tell if he trusts us or not."
Unraveling,L,"[taking a seat] No, I just find them distracting. I can't stand it when people's cellphones are ringing while I'm trying to talk. Let me start by saying nobody takes notes on anything that's said in these meetings. That means when we leave headquarters, any information we need is committed to memory. Please, make yourselves comfortable."
Unraveling,Soichiro,Huh. Right.
Unraveling,Matsuda,"Excuse me, L?"
Unraveling,Woman,"Mmm, and from now on I'll have to ask that you stop calling me ""L"". It's ""Ryuzaki"" now, just to be safe."
Unraveling,Matsuda,"Uh, okay, Ryuzaki. If we know that he needs a name and a face to kill, couldn't we cut down on the number of victims by keeping criminals names from the news?"
Unraveling,Ryuzaki,"If we do that, we'll only be putting the general public at risk."
Unraveling,Ukita,The general public?
Unraveling,Aizawa,Why?
Unraveling,Ryuzaki,"Kira is childish, and he hates losing."
Unraveling,Matsuda,But how do you...
Unraveling,Soichiro,Just what do you mean?
Unraveling,Ryuzaki,"Well, I'm also childish and I hate to lose. That's how I know. [sips tea]"
Unraveling,Soichiro,"Ryuzaki, would you mind being a little more specific for us."
Unraveling,Ryuzaki,"Mnn, early on in the investigation, I tried to provoke Kira with that broadcast."
Unraveling,Ryuzaki,"[V.O.] Up until then, Kira would only go after criminals. But as we all witnessed, he didn't hesitate to kill my stand-in."
Unraveling,Ryuzaki,"[V.O.] Also, as soon as I said we knew he was in the Kanto region, in defiance, he made sure his next victims came from within Japan, as if to say, ""'n' what're you gonna do about it?"""
Unraveling,Ryuzaki,"Mmm. He's met each of my challenges head-on, and he's never missed an opportunity to return the favor. Now what do you think would happen if we tried to use media restrictions to hide criminals from someone like that?"
Unraveling,Matsuda,I guess...
Unraveling,Ryuzaki,"Hmm. ""If you choose to withhold the names of your worst criminals, I'll kill petty criminals or the innocent. I'm holding the whole world hostage, so who's it gonna be? I'm not the evil one here, but all those who oppose me by hiding criminals? You are truly evil."" [sighs] That's exactly how Kira thinks. In any case, let's look at another way we can use the media to draw him out."
Unraveling,Aizawa,But how?
Unraveling,Ryuzaki,"How about something like this? ""Death of FBI agents infuriates the U.S. Latest killings anger the international policing community. Nations agree to send fifteen hundred investigators to Japan."""
Unraveling,Aizawa,Ah...
Unraveling,Ryuzaki,"For Kira, this will be way beyond what he faced with the FBI. He'll see everyone as a potential threat. Psychologically, he'll start to feel cornered, and that will cause him to take some kind of drastic action."
Unraveling,Ukita,That's interesting.
Unraveling,Aizawa,"So he'll think there are fifteen hundred, when there are really only seven of us. And since none of these investigators exist, Kira won't be able to kill them."
Unraveling,Ukita,It just might work.
Unraveling,Ryuzaki,"Well, before we celebrate, I'll tell you the rest of my thoughts on the Kira case."
Unraveling,Ryuzaki,Kira works alone. He had access to all our classified information.
Unraveling,Aizawa,What evidence do you have that he's working alone?
Unraveling,Soichiro,"Hold on, Aizawa. Let's listen to his entire theory before asking questions."
Unraveling,Ryuzaki,"We know he needs a name and a face to kill. And to some extent he can control a victim's time of death and their actions before dying. We already know that much. Please keep that in mind [uncaps marker] and listen carefully to what I have to say next. [begins to write] On December fourteenth, twelve FBI investigators enter Japan. Here we are on December nineteenth. Using prison inmates, Kira conducts experiments manipulating his victims' actions before they die. In other words, during this window of only five days, Kira became aware of the FBI's presence and obviously felt threatened. Because he didn't know any of their names or faces, he was at a disadvantage. He needed to know how much control he had over his victims before he could use it against the twelve agents. And as we all know, on December twenty-seventh."
Unraveling,Light,"[thinking] I got a hold of a file which contained all the names and faces of the FBI investigators in Japan, and I succeeded in killing each one of them. It's practically impossible to guess which agent gave the file to Kira, but [brief flashback of interaction with Raye Penber] I have to make sure no one ever finds out that I came into contact with Raye Penber. [writes 12/10 BUS in notebook]"
